Full sealed-sector lists (best variant = A and B, identical).
adjSecretDoor = 4-adjacent to a Type 5 sector.
adjSwitchable = this sector or a 4-neighbor has wall type 1 on any slot.

=== L07 Wrong Way!  sealed=232 ===
  ( 2, 1) type=1 normal           Item=  -1 addl=0
  ( 3, 1) type=1 normal           Item=  -1 addl=0
  ( 4, 1) type=1 normal           Item= 129 addl=0
  ( 5, 1) type=1 normal           Item=  -1 addl=0
  (10, 1) type=1 normal           Item= 132 addl=0
  (11, 1) type=7 pillar           Item=  65 addl=0
  (22, 1) type=1 normal           Item=  -1 addl=0
  (23, 1) type=1 normal           Item= 133 addl=0
  (24, 1) type=1 normal           Item= 113 addl=0
  (25, 1) type=1 normal           Item= 112 addl=0
  (28, 1) type=1 normal           Item=  -1 addl=0
  ( 1, 2) type=1 normal           Item=  -1 addl=0
  ( 2, 2) type=1 normal           Item=  99 addl=0
  (10, 2) type=1 normal           Item=  -1 addl=0
  (22, 2) type=1 normal           Item=  -1 addl=0
  (29, 2) type=1 normal           Item=  -1 addl=0
  (30, 2) type=1 normal           Item= 341 addl=0
  ( 1, 3) type=1 normal           Item= 136 addl=0
  ( 4, 3) type=1 normal           Item= 137 addl=0
  (24, 3) type=1 normal           Item=  -1 addl=0
  ( 1, 4) type=1 normal           Item= 152 addl=0
  ( 2, 4) type=1 normal           Item= 153 addl=0
  ( 3, 4) type=1 normal           Item= 154 addl=0
  (29, 4) type=1 normal           Item= 159 addl=0
  (30, 4) type=1 normal           Item= 160 addl=0
  ( 2, 5) type=1 normal           Item=  -1 addl=0
  ( 6, 5) type=1 normal           Item=  88 addl=0
  ( 8, 5) type=1 normal           Item=  89 addl=0
  (13, 5) type=1 normal           Item= 161 addl=0
  (15, 5) type=1 normal           Item= 162 addl=0
  (20, 5) type=1 normal           Item=  -1 addl=0
  (22, 5) type=1 normal           Item=  81 addl=0
  (26, 5) type=1 normal           Item=  -1 addl=0
  (27, 5) type=1 normal           Item= 165 addl=0
  (28, 5) type=1 normal           Item= 166 addl=0
  (30, 5) type=1 normal           Item= 111 addl=0
  ( 1, 6) type=1 normal           Item= 167 addl=0
  ( 2, 6) type=1 normal           Item=  -1 addl=0
  (30, 6) type=1 normal           Item=  -1 addl=0
  ( 1, 7) type=1 normal           Item=  -1 addl=0
  ( 6, 7) type=1 normal           Item= 173 addl=0
  ( 8, 7) type=1 normal           Item= 307 addl=0
  (13, 7) type=1 normal           Item= 345 addl=0
  (15, 7) type=1 normal           Item= 175 addl=0
  (20, 7) type=1 normal           Item= 343 addl=0
  (22, 7) type=1 normal           Item= 177 addl=0
  (25, 7) type=1 normal           Item=  -1 addl=0
  (26, 7) type=1 normal           Item=  -1 addl=0
  (27, 7) type=1 normal           Item= 178 addl=0
  (28, 7) type=1 normal           Item= 179 addl=0
  (29, 7) type=1 normal           Item= 180 addl=0
  (30, 7) type=1 normal           Item=  -1 addl=0
  ( 1, 8) type=1 normal           Item= 181 addl=0
  (27, 8) type=1 normal           Item= 183 addl=0
  ( 2, 9) type=1 normal           Item= 100 addl=0
  (27, 9) type=1 normal           Item= 190 addl=0
  (28, 9) type=1 normal           Item= 213 addl=0
  (30, 9) type=7 pillar           Item=  71 addl=0
  ( 1,10) type=1 normal           Item= 192 addl=0
  ( 2,10) type=1 normal           Item= 193 addl=0
  (26,10) type=1 normal           Item=  -1 addl=0
  (28,10) type=1 normal           Item= 197 addl=0
  (29,10) type=1 normal           Item=  -1 addl=0
  (30,10) type=1 normal           Item=  -1 addl=0
  ( 1,11) type=1 normal           Item=  -1 addl=0
  (26,11) type=1 normal           Item= 110 addl=0
  (27,11) type=1 normal           Item=  -1 addl=0
  (28,11) type=1 normal           Item= 200 addl=0
  (30,11) type=1 normal           Item=  -1 addl=0
  ( 1,12) type=1 normal           Item=  -1 addl=0
  ( 2,12) type=1 normal           Item= 201 addl=0
  ( 3,12) type=1 normal           Item=  -1 addl=0
  ( 6,12) type=1 normal           Item= 344 addl=0
  ( 8,12) type=1 normal           Item= 203 addl=0
  (20,12) type=1 normal           Item=  -1 addl=0
  (22,12) type=1 normal           Item=  90 addl=0
  (30,12) type=1 normal           Item= 209 addl=0
  ( 2,13) type=1 normal           Item= 210 addl=0
  (27,13) type=7 pillar           Item=  70 addl=0
  (30,13) type=1 normal           Item= 215 addl=0
  ( 2,14) type=1 normal           Item=  -1 addl=0
  ( 4,14) type=1 normal           Item=  -1 addl=0
  ( 6,14) type=1 normal           Item=  -1 addl=0
  ( 8,14) type=1 normal           Item=  -1 addl=0
  (20,14) type=1 normal           Item= 221 addl=0
  (22,14) type=1 normal           Item=  91 addl=0
  (25,14) type=1 normal           Item= 224 addl=0
  (26,14) type=1 normal           Item=  -1 addl=0
  (27,14) type=1 normal           Item=  -1 addl=0
  (28,14) type=1 normal           Item=  -1 addl=0
  (29,14) type=1 normal           Item=  -1 addl=0
  (30,14) type=1 normal           Item= 225 addl=0
  ( 1,15) type=1 normal           Item= 226 addl=0
  ( 2,15) type=1 normal           Item= 101 addl=0
  ( 4,15) type=1 normal           Item=  -1 addl=0
  (26,15) type=1 normal           Item= 232 addl=0
  (28,15) type=1 normal           Item=  -1 addl=0
  (29,15) type=1 normal           Item= 233 addl=0
  ( 1,16) type=1 normal           Item=  -1 addl=0
  (26,16) type=1 normal           Item= 238 addl=0
  (29,16) type=1 normal           Item= 239 addl=0
  (30,16) type=1 normal           Item=  -1 addl=0
  (30,17) type=1 normal           Item= 247 addl=0
  (24,18) type=1 normal           Item= 248 addl=0
  (26,18) type=7 pillar           Item=  77 addl=0
  (28,18) type=7 pillar           Item=  75 addl=0
  (30,18) type=1 normal           Item=  -1 addl=0
  ( 6,19) type=1 normal           Item= 317 addl=0
  ( 8,19) type=1 normal           Item=  84 addl=0
  (11,19) type=7 pillar           Item=  47 addl=0
  (17,19) type=7 pillar           Item=  49 addl=0
  (20,19) type=1 normal           Item= 296 addl=0
  (21,19) type=1 normal           Item= 250 addl=0
  (22,19) type=1 normal           Item=  93 addl=0
  (24,19) type=1 normal           Item=  -1 addl=0
  (25,19) type=1 normal           Item=  -1 addl=0
  (26,19) type=1 normal           Item=  -1 addl=0
  (27,19) type=1 normal           Item=  -1 addl=0
  (28,19) type=1 normal           Item= 109 addl=0
  (30,19) type=1 normal           Item=  -1 addl=0
  (20,20) type=1 normal           Item=  -1 addl=0
  (21,20) type=1 normal           Item= 255 addl=0
  (22,20) type=4 door_trigger     Item=  -1 addl=131
  (23,20) type=2 door             Item=  -1 addl=9
  (24,20) type=4 door_trigger     Item=  -1 addl=131
  (26,20) type=1 normal           Item= 256 addl=0
  (28,20) type=1 normal           Item=  -1 addl=0
  (29,20) type=1 normal           Item=  -1 addl=0
  (30,20) type=1 normal           Item=  -1 addl=0
  ( 6,21) type=1 normal           Item=  83 addl=0
  ( 8,21) type=1 normal           Item= 259 addl=0
  (11,21) type=7 pillar           Item=  48 addl=0
  (17,21) type=7 pillar           Item=  43 addl=0
  (20,21) type=1 normal           Item=  -1 addl=0
  (21,21) type=4 door_trigger     Item=  24 addl=131
  (22,21) type=1 normal           Item=  92 addl=0
  (24,21) type=1 normal           Item= 261 addl=0
  (26,21) type=1 normal           Item= 262 addl=0
  (27,21) type=1 normal           Item= 263 addl=0
  (28,21) type=1 normal           Item= 264 addl=0
  ( 2,22) type=7 pillar           Item=  73 addl=0
  ( 4,22) type=1 normal           Item=  -1 addl=0
  (21,22) type=2 door             Item=  -1 addl=8
  (24,22) type=1 normal           Item=  -1 addl=0
  (26,22) type=1 normal           Item= 108 addl=0
  (28,22) type=1 normal           Item=  -1 addl=0
  (29,22) type=7 pillar           Item=  69 addl=0
  ( 4,23) type=1 normal           Item=  -1 addl=0
  (17,23) type=1 normal           Item= 274 addl=0
  (18,23) type=1 normal           Item=  -1 addl=0
