level_index	name	score	note
0	Ground Floor	100.00	
5	Evil Undead Phantasms Must Die!	100.00	
10	Feel the Power	100.00	
15	Need a Light?	100.00	
20	Don’t Get Poisoned!	100.00	
1	Never Stop Firing	100.00	
6	Ascension	100.00	
11	A Plague of Demons	100.00	
16	Lasciate Ogne Speranza, Voi Ch’Intrate	100.00	
21	Please Excuse Our Dust	100.00	
2	Lock&Load	100.00	
7	Wrong Way!	100.00	
12	Beware of Low-Flying Nightmares	100.00	
17	Watch Your Step	100.00	
22	But Wait!— That’s Not All!	100.00	
3	They May Be Slow…	100.00	
8	Welcome, Tasty Primate	100.00	
13	The Labyrinth	100.00	labyrinth_reforms
18	I’d Rather Be Surfing	100.00	
23	Where Only Fools Dare Tread	100.00	
4	…But They’re Hungry	100.00	
9	We Can See In The Dark… Can You?	100.00	
14	Happy Happy, Carnage Carnage	100.00	
19	Warning: Earthquake Zone	100.00	
