scan_root: C:\Users\Colton S Covert\Documents\GitHub\Pathways-Into-Darkness-Unity\data\hfs
file_count: 145

path	size	appledouble_or_rsrc	has_resource_map	data_fork_note
Installer_Disk_1/Pathways Installer	689610	False	False	
Installer_Disk_1/Pathways Installer.rsrc	76894	True	True	
Installer_Disk_2/Pathways Installer.2	767953	False	False	
Installer_Disk_3/Pathways Installer.3	520633	False	False	
Installer_Disk_3/Sound Manager 3.0/Sound Manager.rsrc	76993	True	True	
Installer_Disk_3/Sound Manager 3.0/Sound.rsrc	46485	True	True	
Installer_Disk_3/Sound Manager 3.0 READ ME	1310	False	False	
Pathways 1/Pathways Installer	550291	False	False	
Pathways 1/Pathways Installer.rsrc	180784	True	True	
Pathways 2/Pathways Installer.2	732160	False	False	
Pathways 3/Pathways Installer.3	526819	False	False	
Pathways_1995/Bomb Code	321	False	False	
Pathways_1995/DesktopPrinters DB.rsrc	286	True	True	
Pathways_1995/Maps	420850	False	False	DATA-FORK Maps file (no resource map expected)
Pathways_1995/OpenFolderListDF.rsrc	286	True	True	
Pathways_1995/Pathways Into Darkness	213600	False	False	application DATA fork, 213600 bytes (cfrg present in resource fork)
Pathways_1995/Pathways Into Darkness.rsrc	482440	True	True	
Pathways_1995/Pathways Manual.rsrc	721825	True	True	
Pathways_1995/Shapes.rsrc	1872611	True	True	
Pathways_1995/Sounds.rsrc	729990	True	True	
Pathways_Extras/Pathways GamePad Set	1080	False	False	
Pathways_Extras/Pathways Guide v1.1.rsrc	756603	True	True	
Pathways_Extras/Pathways Into Cheating ƒ/Pathways Into Cheating.rsrc	46982	True	True	
Pathways_Extras/Pathways Into Cheating ƒ/Read Me	3624	False	False	
Pathways_Extras/PID_Docs Folder/PIDMapReader.cp	754	False	False	
Pathways_Extras/PID_Docs Folder/PIDMapReader.cp.rsrc	410	True	True	
Pathways_Extras/PID_Docs Folder/PIDMapReader.h	6650	False	False	
Pathways_Extras/PID_Docs Folder/PIDMapReader.h.rsrc	410	True	True	
Pathways_Extras/PID_Docs Folder/Read Me	707	False	False	
Pathways_Extras/PID_Docs Folder/Read Me.rsrc	332	True	True	
Pathways_Extras/PID_Docs Folder/sector_types_sqr.gif	34618	False	False	
Pathways_Extras/PID_Docs Folder/sector_types_sqr.gif.rsrc	14914	True	True	
Pathways_Extras/PID_Docs Folder/SimpleVec.h	3435	False	False	
Pathways_Extras/PID_Docs Folder/SimpleVec.h.rsrc	410	True	True	
Pathways_Extras/pidmaps/pid maps/ascension.pict	45920	False	False	
Pathways_Extras/pidmaps/pid maps/ascension.pict.rsrc	6349	True	True	
Pathways_Extras/pidmaps/pid maps/beware_of.pict	57166	False	False	
Pathways_Extras/pidmaps/pid maps/beware_of.pict.rsrc	6629	True	True	
Pathways_Extras/pidmaps/pid maps/but_wait_a.pict	44732	False	False	
Pathways_Extras/pidmaps/pid maps/but_wait_a.pict.rsrc	6281	True	True	
Pathways_Extras/pidmaps/pid maps/but_wait_b.pict	44146	False	False	
